universo;nome;nome_real;poderes;pontos_fracos;inimigos;curiosidade;origem;humanidade;genero
Marvel;Homem-Aranha;Peter Parker;"força sobre-humana; sentido aranha; agilidade; aderência em paredes";"responsabilidade emocional; pessoas próximas em risco";Duende Verde;"Foi criado por Stan Lee e Steve Ditko.";Terra;Humano;Homem
Marvel;Thor;Thor Odinson;"controle do trovão; força divina; voo com martelo";"arrogância; perda do martelo em algumas versões";Loki;"Baseado na mitologia nórdica.";Asgard;Extraterrestre;Homem
Marvel;Capitã Marvel;Carol Danvers;"voo; superforça; absorção e projeção de energia";"instabilidade de energia em algumas fases";Yon-Rogg;"Já foi piloto da Força Aérea.";Terra;Humano;Mulher
Marvel;Homem de Ferro;Tony Stark;"armadura tecnológica; inteligência genial; arsenal avançado";"dependência da armadura; ego";Mandarim;"Seu coração já dependeu de tecnologia para funcionar.";Terra;Humano;Homem
Marvel;Hulk;Bruce Banner;"força extrema; regeneração; resistência";"controle emocional; fúria descontrolada";Abominável;"Sua transformação está ligada à radiação gama.";Terra;Humano;Homem
Marvel;Viúva Negra;Natasha Romanoff;"espionagem; combate corpo a corpo; infiltração";"humana sem superpoderes";Treinador;"É uma das maiores espiãs da Marvel.";Terra;Humano;Mulher
Marvel;Pantera Negra;T'Challa;"força aprimorada; agilidade; tecnologia de Wakanda";"peso da liderança; vulnerabilidades humanas";Killmonger;"É rei de Wakanda.";Wakanda;Humano;Homem
Marvel;Doutor Estranho;Stephen Strange;"magia; viagem astral; manipulação mística";"arrogância; limites físicos humanos";Dormammu;"Antes de ser mago, era neurocirurgião.";Terra;Humano;Homem
Marvel;Feiticeira Escarlate;Wanda Maximoff;"magia do caos; telecinese; manipulação da realidade";"instabilidade emocional";Agatha Harkness;"É uma das personagens mais poderosas da Marvel.";Terra;Humano;Mulher
Marvel;Surfista Prateado;Norrin Radd;"voo cósmico; manipulação de energia; resistência";"conflitos morais; ligação emocional com seu planeta";Galactus;"Já foi arauto de Galactus.";Zenn-La;Extraterrestre;Homem
DC;Batman;Bruce Wayne;"inteligência estratégica; artes marciais; tecnologia";"não possui superpoderes; trauma emocional";Coringa;"Seu símbolo é inspirado em morcegos.";Terra;Humano;Homem
DC;Mulher-Maravilha;Diana Prince;"superforça; velocidade; laço da verdade; resistência";"conflitos entre compaixão e dever";Ares;"É princesa das amazonas de Themyscira.";Themyscira;Extraterrestre;Mulher
DC;Superman;Clark Kent;"voo; visão de calor; superforça; invulnerabilidade";"criptonita; magia";Lex Luthor;"Seu nome kryptoniano é Kal-El.";Krypton;Extraterrestre;Homem
DC;Flash;Barry Allen;"supervelocidade; viagem no tempo; reflexos acelerados";"alterações temporais; exaustão";Flash Reverso;"É cientista forense.";Terra;Humano;Homem
DC;Aquaman;Arthur Curry;"comunicação com vida marinha; superforça; resistência aquática";"eficiência reduzida longe da água em algumas versões";Arraia Negra;"É rei de Atlântida.";Atlântida;Humano;Homem
DC;Lanterna Verde;Hal Jordan;"anel de poder; construção de energia; voo";"limites da força de vontade; vulnerabilidade emocional";Sinestro;"Foi piloto de testes.";Terra;Humano;Homem
DC;Caçador de Marte;J'onn J'onzz;"telepatia; metamorfose; invisibilidade; voo";"fraqueza ao fogo";Lex Luthor;"É um dos últimos marcianos.";Marte;Extraterrestre;Homem
DC;Supergirl;Kara Zor-El;"voo; visão de calor; superforça; supersopro";"criptonita; magia";Darkseid;"É prima do Superman.";Krypton;Extraterrestre;Mulher
DC;Batgirl;Barbara Gordon;"inteligência; artes marciais; investigação";"humana sem superpoderes";Coringa;"Já atuou também como Oráculo.";Terra;Humano;Mulher
DC;Ravena;Rachel Roth;"magia sombria; empatia; teletransporte";"instabilidade emocional; ligação com Trigon";Trigon;"É integrante dos Jovens Titãs.";Azarath;Extraterrestre;Mulher